datetime,weekday,diferencia
2020-09-16 16:19:28,2,0.43333333
2020-09-16 16:21:16,2,1.800000002
2020-09-16 16:22:32,2,1.266666669
2020-09-16 16:26:22,2,3.833333328
2020-09-16 16:28:50,2,2.466666667
2020-09-16 16:53:18,2,24.46666667
2020-09-16 16:53:18,2,0
2020-09-16 16:55:00,2,1.699999999
2020-09-16 16:56:03,2,1.050000004
2020-09-16 17:05:52,2,9.816666667
2020-09-16 17:06:02,2,0.166666664
2020-09-16 17:08:24,2,2.366666665
2020-09-16 17:08:30,2,0.100000002
2020-09-16 17:19:54,2,11.4
2020-09-16 17:31:35,2,11.68333333
2020-09-16 17:33:12,2,1.616666667
2020-09-16 17:36:21,2,3.150000003
2020-09-16 17:39:03,2,2.699999992
2020-09-16 18:19:38,2,40.58333334
2020-09-16 18:24:11,2,4.549999995
2020-09-16 18:30:44,2,6.550000001
2020-09-16 18:52:48,2,22.06666667
2020-09-16 19:02:43,2,9.916666669
2020-09-16 19:05:48,2,3.083333331
2020-09-16 19:05:48,2,0
2020-09-16 19:08:38,2,2.833333336
2020-09-16 19:12:42,2,4.066666664
2020-09-16 19:42:05,2,29.38333333
2020-09-16 19:48:02,2,5.950000008
2020-09-16 20:01:38,2,13.59999999
2020-09-16 20:24:21,2,22.71666666
2020-09-16 21:48:06,2,83.75000001
2020-09-16 22:18:54,2,30.8
2020-09-17 00:56:20,3,157.4333333
2020-09-17 05:14:32,3,258.2
2020-09-17 06:05:46,3,51.23333333
2020-09-17 06:14:20,3,8.566666668
2020-09-17 06:14:20,3,0
2020-09-17 06:26:02,3,11.7
2020-09-17 06:26:02,3,0
2020-09-17 06:26:38,3,0.600000004
2020-09-17 06:30:42,3,4.066666664
2020-09-17 06:44:08,3,13.43333333
2020-09-17 06:58:00,3,13.86666667
2020-09-17 07:11:12,3,13.19999999
2020-09-17 07:20:38,3,9.433333338
2020-09-17 07:23:05,3,2.449999996
2020-09-17 08:30:51,3,67.76666667
2020-09-17 08:47:42,3,16.85
2020-09-17 09:44:37,3,56.91666668
2020-09-17 09:59:12,3,14.58333333
2020-09-17 10:31:35,3,32.38333334
2020-09-17 10:31:41,3,0.099999992
2020-09-17 10:50:14,3,18.55000001
2020-09-17 11:14:45,3,24.51666667
2020-09-17 11:55:53,3,41.13333333
2020-09-17 12:05:38,3,9.749999995
2020-09-17 12:10:25,3,4.783333341
2020-09-17 12:28:06,3,17.68333333
2020-09-17 12:57:14,3,29.13333333
2020-09-17 13:21:08,3,23.9
2020-09-17 13:41:52,3,20.73333333
2020-09-17 14:04:10,3,22.30000001
2020-09-17 14:16:14,3,12.06666666
2020-09-17 14:21:45,3,5.516666668
2020-09-17 14:21:45,3,0
2020-09-17 14:22:20,3,0.583333333
2020-09-17 14:22:41,3,0.350000008
2020-09-17 14:23:24,3,0.716666667
2020-09-17 14:23:27,3,0.049999991
2020-09-17 14:24:58,3,1.516666675
2020-09-17 14:28:39,3,3.683333325
2020-09-17 14:28:58,3,0.316666667
2020-09-17 14:31:14,3,2.266666673
2020-09-17 14:31:39,3,0.41666667
2020-09-17 14:42:57,3,11.29999999
2020-09-17 14:54:44,3,11.78333334
2020-09-17 15:15:56,3,21.2
2020-09-17 15:16:28,3,0.533333332
2020-09-17 15:17:23,3,0.916666661
2020-09-17 15:25:25,3,8.033333336
2020-09-17 15:28:07,3,2.700000003
2020-09-17 15:29:53,3,1.766666661
2020-09-17 15:43:31,3,13.63333334
2020-09-17 15:43:35,3,0.066666672
2020-09-17 16:12:35,3,29
2020-09-17 16:15:16,3,2.683333332
2020-09-17 16:21:37,3,6.349999997
2020-09-17 16:29:52,3,8.250000001
2020-09-17 16:32:50,3,2.966666669
2020-09-17 16:33:51,3,1.016666663
2020-09-17 16:39:13,3,5.366666664
2020-09-17 16:39:20,3,0.116666673
2020-09-17 16:59:45,3,20.41666666
2020-09-17 17:05:42,3,5.949999997
2020-09-17 17:43:32,3,37.83333333
2020-09-17 17:45:06,3,1.566666666
2020-09-17 17:54:26,3,9.333333336
2020-09-17 18:06:11,3,11.75
2020-09-17 18:11:30,3,5.316666663
2020-09-17 18:24:35,3,13.08333334
2020-09-17 18:28:09,3,3.566666662
2020-09-17 18:31:06,3,2.949999998
2020-09-17 18:37:18,3,6.200000003
2020-09-17 18:39:24,3,2.099999998
2020-09-17 18:45:06,3,5.700000002
2020-09-17 19:05:56,3,20.83333333
2020-09-17 19:06:07,3,0.183333334
2020-09-17 19:13:42,3,7.583333335
2020-09-17 19:21:24,3,7.699999998
2020-09-17 19:33:34,3,12.16666666
2020-09-17 19:46:41,3,13.11666667
2020-09-17 19:50:15,3,3.566666662
2020-09-17 20:01:45,3,11.50000001
2020-09-17 20:16:03,3,14.3
2020-09-17 20:25:43,3,9.666666663
2020-09-17 20:32:32,3,6.816666668
2020-09-17 21:06:24,3,33.86666666
2020-09-17 21:35:36,3,29.20000001
2020-09-17 22:25:37,3,50.01666667
2020-09-17 22:49:36,3,23.98333333
2020-09-17 22:53:02,3,3.433333329
2020-09-18 00:13:42,4,80.66666666
2020-09-18 05:14:13,4,300.5166667
2020-09-18 05:42:47,4,28.56666667
2020-09-18 06:12:45,4,29.96666667
2020-09-18 06:14:24,4,1.649999998
2020-09-18 06:23:33,4,9.150000002
2020-09-18 06:27:05,4,3.533333332
2020-09-18 06:44:22,4,17.28333333
2020-09-18 06:53:43,4,9.350000006
2020-09-18 06:58:53,4,5.166666659
2020-09-18 07:00:41,4,1.800000002
2020-09-18 07:01:39,4,0.966666673
2020-09-18 08:15:14,4,73.58333333
2020-09-18 08:29:38,4,14.4
2020-09-18 09:06:30,4,36.86666666
2020-09-18 09:26:29,4,19.98333333
2020-09-18 10:04:13,4,37.73333333
2020-09-18 10:35:52,4,31.65
2020-09-18 11:37:34,4,61.70000001
2020-09-18 12:40:01,4,62.44999999
2020-09-18 12:40:01,4,0
2020-09-18 12:42:48,4,2.783333334
2020-09-18 12:53:30,4,10.7
2020-09-18 13:02:13,4,8.716666672
2020-09-18 13:02:13,4,0
2020-09-18 13:07:39,4,5.433333336
2020-09-18 13:37:35,4,29.93333333
2020-09-18 13:37:46,4,0.183333334
2020-09-18 13:55:58,4,18.2
2020-09-18 14:13:40,4,17.7
2020-09-18 14:15:09,4,1.483333334
2020-09-18 14:26:23,4,11.23333333
2020-09-18 14:26:32,4,0.150000004
2020-09-18 14:37:47,4,11.25
2020-09-18 15:00:16,4,22.48333333
2020-09-18 15:17:50,4,17.56666667
2020-09-18 15:27:10,4,9.333333336
2020-09-18 15:27:46,4,0.599999994
2020-09-18 15:28:09,4,0.383333339
2020-09-18 15:30:30,4,2.350000005
2020-09-18 15:43:01,4,12.51666666
2020-09-18 15:47:15,4,4.233333338
2020-09-18 15:59:16,4,12.01666667
2020-09-18 16:05:26,4,6.166666662
2020-09-18 16:05:49,4,0.383333339
2020-09-18 16:11:05,4,5.266666661
2020-09-18 16:12:28,4,1.383333332
2020-09-18 16:17:09,4,4.683333338
2020-09-18 16:19:12,4,2.049999997
2020-09-18 16:19:12,4,0
2020-09-18 16:19:19,4,0.116666663
2020-09-18 16:19:42,4,0.383333339
2020-09-18 16:20:50,4,1.133333336
2020-09-18 16:21:47,4,0.949999992
2020-09-18 16:23:34,4,1.783333342
2020-09-18 16:24:32,4,0.966666662
2020-09-18 16:26:39,4,2.116666669
2020-09-18 16:31:10,4,4.516666664
2020-09-18 16:37:53,4,6.716666665
2020-09-18 16:46:21,4,8.466666666
2020-09-18 17:02:20,4,15.98333334
2020-09-18 17:02:35,4,0.249999996
2020-09-18 17:23:04,4,20.48333333
2020-09-18 17:35:25,4,12.35
2020-09-18 17:42:33,4,7.133333335
